model,pathway,scenario,region,,unit,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
image,SSP2-RCP19,Business As Usual,GLO,Share|NCA,%,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
image,SSP2-RCP19,Business As Usual,GLO,Share|NMC532 & NMC622,%,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34
image,SSP2-RCP19,Business As Usual,GLO,Share|NMC811 & NMC900,%,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
image,SSP2-RCP19,Business As Usual,GLO,Share|LFP,%,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28
image,SSP2-RCP19,Business As Usual,GLO,Share|PLIB,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image,SSP2-RCP19,Business As Usual,GLO,Efficiency|Electricity|NCA,%,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
image,SSP2-RCP19,Business As Usual,GLO,Efficiency|Electricity|NMC532 & NMC622,%,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
image,SSP2-RCP19,Business As Usual,GLO,Efficiency|Electricity|NMC811 & NMC900,%,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
image,SSP2-RCP19,Business As Usual,GLO,Efficiency|Electricity|LFP,%,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
image,SSP2-RCP19,Business As Usual,GLO,Efficiency|Electricity|PLIB,%,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
image,SSP2-RCP19,Business As Usual,GLO,Efficiency|Heat|NCA,%,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
image,SSP2-RCP19,Business As Usual,GLO,Efficiency|Heat|NMC532 & NMC622,%,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
image,SSP2-RCP19,Business As Usual,GLO,Efficiency|Heat|NMC811 & NMC900,%,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
image,SSP2-RCP19,Business As Usual,GLO,Efficiency|Heat|LFP,%,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
image,SSP2-RCP19,Business As Usual,GLO,Efficiency|Heat|PLIB,%,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
image,SSP2-RCP19,Business As Usual,GLO,Share|Heat|Natural Gas,%,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
image,SSP2-RCP19,Business As Usual,GLO,Share|Heat|Heat Pumps,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image,SSP2-RCP19,1.5 Scenario,GLO,Share|NCA,%,21,18.75,16.5,14.25,12,10.4,8.8,7.2,5.6,4,3.6,3.2,2.8,2.4,2,1.8,1.6,1.4,1.2,1
image,SSP2-RCP19,1.5 Scenario,GLO,Share|NMC532 & NMC622,%,34,29,24,19,14,13.4,12.8,12.2,11.6,11,9.2,7.4,5.6,3.8,2,2,2,2,2,2
image,SSP2-RCP19,1.5 Scenario,GLO,Share|NMC811 & NMC900,%,17,21.75,26.5,31.25,36,36.8,37.6,38.4,39.2,40,41.4,42.8,44.2,45.6,47,43.6,40.2,36.8,33.4,30
image,SSP2-RCP19,1.5 Scenario,GLO,Share|LFP,%,28,30,32,34,36,36.4,36.8,37.2,37.6,38,36,34,32,30,28,28,28,28,28,28
image,SSP2-RCP19,1.5 Scenario,GLO,Share|PLIB,%,0,0.25,0.5,0.75,1,2.2,3.4,4.6,5.8,7,9.6,12.2,14.8,17.4,20,23.8,27.6,31.4,35.2,39
image,SSP2-RCP19,1.5 Scenario,GLO,Efficiency|Electricity|NCA,%,1,1.075718615,1.133948235,1.183587123,1.231990854,1.276861147,1.315574003,1.350150972,1.381646909,1.410696746,1.437940233,1.462566463,1.485847228,1.507908366,1.528854328,1.548658374,1.567533141,1.585540482,1.602735182,1.619166209
image,SSP2-RCP19,1.5 Scenario,GLO,Efficiency|Electricity|NMC532 & NMC622,%,1,1.068143632,1.119635414,1.163179798,1.206179243,1.246224246,1.28048052,1.310941902,1.338637633,1.364179996,1.388208187,1.409791117,1.430271969,1.449761398,1.468349987,1.485982265,1.502875849,1.519081609,1.534644071,1.549602593
image,SSP2-RCP19,1.5 Scenario,GLO,Efficiency|Electricity|NMC811 & NMC900,%,1,1.068143632,1.119635414,1.163179798,1.206179243,1.246224246,1.28048052,1.310941902,1.338637633,1.364179996,1.388208187,1.409791117,1.430271969,1.449761398,1.468349987,1.485982265,1.502875849,1.519081609,1.534644071,1.549602593
image,SSP2-RCP19,1.5 Scenario,GLO,Efficiency|Electricity|LFP,%,1,1.068143632,1.119635414,1.163179798,1.206179243,1.246224246,1.28048052,1.310941902,1.338637633,1.364179996,1.388208187,1.409791117,1.430271969,1.449761398,1.468349987,1.485982265,1.502875849,1.519081609,1.534644071,1.549602593
image,SSP2-RCP19,1.5 Scenario,GLO,Efficiency|Electricity|PLIB,%,1,1.067933031,1.119237442,1.16268487,1.205644967,1.245698975,1.280003583,1.310548427,1.338358952,1.360589094,1.380832729,1.398284682,1.418733074,1.439636067,1.459020888,1.477846204,1.495281989,1.508852557,1.522195892,1.534865266
image,SSP2-RCP19,1.5 Scenario,GLO,Efficiency|Heat|NCA,%,1,1.075718615,1.133948235,1.183587123,1.231990854,1.276861147,1.315574003,1.350150972,1.381646909,1.410696746,1.437940233,1.462566463,1.485847228,1.507908366,1.528854328,1.548658374,1.567533141,1.585540482,1.602735182,1.619166209
image,SSP2-RCP19,1.5 Scenario,GLO,Efficiency|Heat|NMC532 & NMC622,%,1,1.075728719,1.133967327,1.183614345,1.232025284,1.276902014,1.315620814,1.350203273,1.38170428,1.410758795,1.438006571,1.462636861,1.48592136,1.507985929,1.528935035,1.548741978,1.567619388,1.585629132,1.602826009,1.619259
image,SSP2-RCP19,1.5 Scenario,GLO,Efficiency|Heat|NMC811 & NMC900,%,1,1.075740596,1.133989769,1.183646342,1.232065755,1.27695005,1.315675839,1.350264751,1.381771715,1.41083173,1.438084548,1.462719609,1.486008499,1.5080771,1.529029902,1.54884025,1.567720766,1.585733335,1.602932771,1.619368072
image,SSP2-RCP19,1.5 Scenario,GLO,Efficiency|Heat|LFP,%,1,1.075733664,1.133976669,1.183627664,1.232042131,1.27692201,1.31564372,1.350228865,1.381732352,1.410789156,1.438039031,1.462671307,1.485957634,1.508023881,1.528974526,1.548782887,1.56766159,1.58567251,1.602870452,1.619304404
image,SSP2-RCP19,1.5 Scenario,GLO,Efficiency|Heat|PLIB,%,1,1.077584877,1.137478587,1.188141449,1.237143266,1.282252977,1.320918637,1.355190634,1.386149955,1.414286691,1.440469849,1.463292367,1.488237534,1.51280963,1.535707777,1.557776207,1.578110957,1.59423478,1.609945543,1.624829465
image,SSP2-RCP19,1.5 Scenario,GLO,Share|Heat|Natural Gas,%,100,96.84210526,93.68421053,90.52631579,87.36842105,84.21052632,81.05263158,77.89473684,74.73684211,71.57894737,68.42105263,65.26315789,62.10526316,58.94736842,55.78947368,52.63157895,49.47368421,46.31578947,43.15789474,40
image,SSP2-RCP19,1.5 Scenario,GLO,Share|Heat|Heat Pumps,%,0,3.157894737,6.315789474,9.473684211,12.63157895,15.78947368,18.94736842,22.10526316,25.26315789,28.42105263,31.57894737,34.73684211,37.89473684,41.05263158,44.21052632,47.36842105,50.52631579,53.68421053,56.84210526,60
