Database;batteries;;;;;;
;;;;;;;
Activity;battery cell, NMC-622;;;;;;
location;GLO;;;;;;
production amount;1;;;;;;
reference product;battery cell;;;;;;
type;;;;;;;
unit;kilogram;;;;;;
worksheet name;Sheet1;;;;;;
Exchanges;;;;;;;
name;amount;database;location;categories;unit;type;reference product
battery cell, NMC-622;1;batteries;GLO;;kilogram;production;battery cell
market for heat, district or industrial, natural gas;12.5100;ecoinvent;RoW;;megajoule;technosphere;heat, district or industrial, natural gas
market group for electricity, medium voltage;1.1875;ecoinvent;GLO;;kilowatt hour;technosphere;electricity, medium voltage
cathode, NMC-622, for Li-ion battery;0.4100;batteries;GLO;;kilogram;technosphere;cathode, NMC-622, for Li-ion battery
anode, graphite, for Li-ion battery;0.2000;ecoinvent;GLO;;kilogram;technosphere;anode, graphite, for Li-ion battery
electrolyte, for Li-ion battery;0.1460;ecoinvent;GLO;;kilogram;technosphere;electrolyte, for Li-ion battery
copper collector foil, for Li-ion battery;0.1200;ecoinvent;GLO;;kilogram;technosphere;copper collector foil, for Li-ion battery
market for sheet rolling, copper;0.0335;ecoinvent;GLO;;kilogram;technosphere;sheet rolling, copper
market for copper, anode;0.0335;ecoinvent;GLO;;kilogram;technosphere;copper, anode
aluminium collector foil, for Li-ion battery;0.0300;ecoinvent;GLO;;kilogram;technosphere;aluminium collector foil, for Li-ion battery
market for aluminium, wrought alloy;0.0283;ecoinvent;GLO;;kilogram;technosphere;aluminium, wrought alloy
market for sheet rolling, aluminium;0.0283;ecoinvent;GLO;;kilogram;technosphere;sheet rolling, aluminium
battery separator;0.0200;batteries;GLO;;kilogram;technosphere;battery separator
market for extrusion, plastic film;0.0041;ecoinvent;GLO;;kilogram;technosphere;extrusion, plastic film
market for polyethylene terephthalate, granulate, amorphous;0.0028;ecoinvent;GLO;;kilogram;technosphere;polyethylene terephthalate, granulate, amorphous
market for polypropylene, granulate;0.0013;ecoinvent;GLO;;kilogram;technosphere;polypropylene, granulate
market for chemical factory, organics;4.00E-10;ecoinvent;GLO;;unit;technosphere;chemical factory, organics
;;;;;;;
;;;;;;;
Activity;cathode, NMC-622, for Li-ion battery;;;;;;
location;GLO;;;;;;
production amount;1;;;;;;
reference product;cathode, NMC-622, for Li-ion battery;;;;;;
type;;;;;;;
unit;kilogram;;;;;;
worksheet name;Sheet1;;;;;;
Exchanges;;;;;;;
name;amount;database;location;categories;unit;type;reference product
cathode, NMC-622, for Li-ion battery;1;batteries;GLO;;kilogram;production;cathode, NMC-622, for Li-ion battery
market for transport, freight train;0.0028;ecoinvent;RoW;;ton kilometer;technosphere;transport, freight train
market for transport, freight, lorry, unspecified;0.0592;ecoinvent;RoW;;ton kilometer;technosphere;transport, freight, lorry, unspecified
market for transport, freight, sea, container ship;0.2057;ecoinvent;GLO;;ton kilometer;technosphere;transport, freight, sea, container ship
market group for electricity, medium voltage;0.4406;ecoinvent;GLO;;kilowatt hour;technosphere;electricity, medium voltage
market for carbon black;0.0250;ecoinvent;GLO;;kilogram;technosphere;carbon black
